title,url,video_id,tier,top
"Central Cee & Dave - Sprinter",https://www.youtube.com/watch?v=dogByTTVQdg,dogByTTVQdg,Diamond,0
"Chief Keef & Lil Yachty - Say Ya Grace",https://www.youtube.com/watch?v=OUFSBAMQaw0,OUFSBAMQaw0,Diamond,0
"Childish Gambino - 12.38 ft. 21 Savage",https://www.youtube.com/watch?v=bNgD0FYh-o0,bNgD0FYh-o0,Diamond,18
"Childish Gambino - Feels like summer",https://www.youtube.com/watch?v=Ka9qh4aflWc,Ka9qh4aflWc,Diamond,0
"Childish Gambino Type Beat - Sunshine Stories",https://www.youtube.com/watch?v=jevhJ_aUXSs,jevhJ_aUXSs,Diamond,0
"Chill Type Beat - Phenomenon",https://www.youtube.com/watch?v=4mns1B-Spqk,4mns1B-Spqk,Diamond,0
"Chloe - Pray It Away",https://www.youtube.com/watch?v=q5QVpaXJoT4,q5QVpaXJoT4,Diamond,0
"Chris Brown - Call Me Every Day ft. WizKid",https://www.youtube.com/watch?v=IC9QBua5X1s,IC9QBua5X1s,Diamond,0
"Chris Brown - Nightmares ft Byron Messia",https://www.youtube.com/watch?v=3A8KsNaRRFU,3A8KsNaRRFU,Diamond,0
"Chris Brown - No Guidance ft Drake",https://www.youtube.com/watch?v=sbWuHooEzLo,sbWuHooEzLo,Diamond,0
"Chris Brown - Sensational ft. Davido, Lojay",https://www.youtube.com/watch?v=BM2-7bktcVA,BM2-7bktcVA,Diamond,0
"Chris Brown - Undecided",https://www.youtube.com/watch?v=5qUy4ppAT3Q,5qUy4ppAT3Q,Diamond,0
"Christmas Trap Type Beat - Santa Style",https://www.youtube.com/watch?v=z0-SCnF4Soc,z0-SCnF4Soc,Diamond,0
"Ciara - Greatest Love",https://www.youtube.com/watch?v=evS7Fnw0vGU,evS7Fnw0vGU,Diamond,0
"Ciara - Thinkin bout you",https://www.youtube.com/watch?v=aRCkDfaGS54,aRCkDfaGS54,Diamond,0
"Ciara & Chris Brown - How We Roll",https://www.youtube.com/watch?v=ibHiYpMUatI,ibHiYpMUatI,Diamond,0
"CJ - Whoopty",https://www.youtube.com/watch?v=iv1dnifT_NU,iv1dnifT_NU,Diamond,0
"Clipse - So Be It",https://www.youtube.com/watch?v=2qDIFYK4A74,2qDIFYK4A74,Diamond,0
"Cochise - Tell Em ft. $NOT",https://www.youtube.com/watch?v=Z6CuYfH0Rck,Z6CuYfH0Rck,Diamond,0
"Cordae - Make Up Your Mind",https://www.youtube.com/watch?v=z_y0KtOAFzA,z_y0KtOAFzA,Diamond,0
"DaBaby - Find My Way",https://www.youtube.com/watch?v=WboPfdw0cYU,WboPfdw0cYU,Diamond,0
"DaBaby - GOSPEL ft. Chance the Rapper, Gucci Mane",https://www.youtube.com/watch?v=le0c08htr0U,le0c08htr0U,Diamond,0
"DaBaby - LEVELS ft. Kodak Black",https://www.youtube.com/watch?v=RKddArH4qes,RKddArH4qes,Diamond,0
"DaBaby - Masterpiece",https://www.youtube.com/watch?v=00SyU3U6ZOM,00SyU3U6ZOM,Diamond,0
"DaBaby - More Money More Problems 2020",https://www.youtube.com/watch?v=eh_E5I4ZPAc,eh_E5I4ZPAc,Diamond,0
"DaBaby - PEEPHOLE",https://www.youtube.com/watch?v=Da2faXLenbA,Da2faXLenbA,Diamond,0
"DaBaby - Red Light Green Light",https://www.youtube.com/watch?v=xLO7p0oALWo,xLO7p0oALWo,Diamond,0
"DaBaby - Rockstar ft. Roddy Ricch",https://www.youtube.com/watch?v=CmOK8lGRtsI,CmOK8lGRtsI,Diamond,0
"DaBaby - Shut Up",https://www.youtube.com/watch?v=laF-jRAEtVo,laF-jRAEtVo,Diamond,0
"DaBaby - SOCKS",https://www.youtube.com/watch?v=89JSEvtTJik,89JSEvtTJik,Diamond,0
"DaBaby - Vibez",https://www.youtube.com/watch?v=WAZUoccDTIU,WAZUoccDTIU,Diamond,0
"Dababy & Stunna 4 Vegas - No Dribble",https://www.youtube.com/watch?v=9hjYDZwQ32s,9hjYDZwQ32s,Diamond,0
"Daddy Yankee & Sech - Definitivamente",https://www.youtube.com/watch?v=66mEGww10bU,66mEGww10bU,Diamond,0
"Dax - Black lives matter",https://www.youtube.com/watch?v=7w4fxCCi7ek,7w4fxCCi7ek,Diamond,0
"Dax - Did it First",https://www.youtube.com/watch?v=9sHklxFZByY,9sHklxFZByY,Diamond,0
"Dax - Grinch 2020",https://www.youtube.com/watch?v=I1_CI-cRR2g,I1_CI-cRR2g,Diamond,0
"Dax - I don't want another sorry ft. Trippie Redd",https://www.youtube.com/watch?v=XSiGyzYbGRQ,XSiGyzYbGRQ,Diamond,0
"Dax - Joker",https://www.youtube.com/watch?v=86WDi1PG5GY,86WDi1PG5GY,Diamond,0
"Dax - Propaganda ft. Tom MacDonald",https://www.youtube.com/watch?v=ZRgPYAZ2j_Q,ZRgPYAZ2j_Q,Diamond,0
"Dax - Soldier ft. Tom MacDonald",https://www.youtube.com/watch?v=vgzgNZIbD98,vgzgNZIbD98,Diamond,0
"Dax & Tech N9ne - FASTER",https://www.youtube.com/watch?v=OzeoVwoHAKM,OzeoVwoHAKM,Diamond,0
"Dax & Tech N9ne Type Beat - FASTER",https://www.youtube.com/watch?v=6wj0CeJ5eAw,6wj0CeJ5eAw,Diamond,0
"DD Osama - OHHH NOO",https://www.youtube.com/watch?v=m8amqR7IVj4,m8amqR7IVj4,Diamond,0
"DD Osama - Upnow ft. Coi Leray",https://www.youtube.com/watch?v=QFW6Xj_8YwY,QFW6Xj_8YwY,Diamond,0
"DD Osama - Who I Am",https://www.youtube.com/watch?v=7P41MUQYpXI,7P41MUQYpXI,Diamond,0
"DDG - 9 Lives ft. Polo G & NLE Choppa",https://www.youtube.com/watch?v=ieHxfgi7pjw,ieHxfgi7pjw,Diamond,0
"DDG - Elon Musk ft. Gunna",https://www.youtube.com/watch?v=pEXD--Q_60c,pEXD--Q_60c,Diamond,0
"DDG - HANDS UP!",https://www.youtube.com/watch?v=9wV2FAAs4Mk,9wV2FAAs4Mk,Diamond,0
"DDG - No Kizzy ft. Paidway T.O",https://www.youtube.com/watch?v=un27KrSRuN4,un27KrSRuN4,Diamond,0
"DDG x OG Parker - Hood Melody ft. NBA YoungBoy",https://www.youtube.com/watch?v=2wL21KjBhO0,2wL21KjBhO0,Diamond,0
"DDG x OG Parker - I Need Security",https://www.youtube.com/watch?v=GwPq3gNUV7Q,GwPq3gNUV7Q,Diamond,0
"DDG x OG Parker - Money Long ft. 42 Dugg",https://www.youtube.com/watch?v=C1E1Iq2FLbY,C1E1Iq2FLbY,Diamond,0
"DESIIGNER - Letter To Ye",https://www.youtube.com/watch?v=GDM0bCRkHao,GDM0bCRkHao,Diamond,0
"Diddy - Another One of Me ft. The Weeknd, 21 Savage, French Montana",https://www.youtube.com/watch?v=tZ8YmFkE2qo,tZ8YmFkE2qo,Diamond,0
"Dixie D'Amelio - Be Happy ft. blackbear & Lil Mosey",https://www.youtube.com/watch?v=c1w4E01c7tE,c1w4E01c7tE,Diamond,0
"DJ K.i.D & DDG - Tony Montana 2020",https://www.youtube.com/watch?v=Lb0CzcoxKHk,Lb0CzcoxKHk,Diamond,0
"DJ Khaled - FAM GOOD, WE GOOD ft. Gunna, Roddy Ricch",https://www.youtube.com/watch?v=7KpvKu3qrKU,7KpvKu3qrKU,Diamond,0
"DJ Khaled - GOD DID ft. Rick Ross, Lil Wayne, Jay-Z",https://www.youtube.com/watch?v=ThPfavLREcw,ThPfavLREcw,Diamond,0
"DJ Khaled - Juice WRLD DID ft. Juice WRLD",https://www.youtube.com/watch?v=hqHcssPA_zc,hqHcssPA_zc,Diamond,0
"DJ Khaled ft. Drake - Greece",https://www.youtube.com/watch?v=z1Fn7EFRACQ,z1Fn7EFRACQ,Diamond,0
"DJ Khaled ft. Drake - Popstar",https://www.youtube.com/watch?v=amRoy20ziJ8,amRoy20ziJ8,Diamond,0
"DJ Khaled ft. Drake & Lil Baby - Staying Alive",https://www.youtube.com/watch?v=Ys_wGwgoNxQ,Ys_wGwgoNxQ,Diamond,0
"DJ Khaled ft. Nas & JAY-Z - Sorry Not Sorry",https://www.youtube.com/watch?v=4hc3giEpcxw,4hc3giEpcxw,Diamond,0
"DJ Scheme & Juice WRLD - Buck 50",https://www.youtube.com/watch?v=39h9GwfVcuc,39h9GwfVcuc,Diamond,0
"DJ Snake & Sean Paul & Anitta - Fuego",https://www.youtube.com/watch?v=1Cgx5Z0MuPg,1Cgx5Z0MuPg,Diamond,0
"Doja Cat - Ain't Shit",https://www.youtube.com/watch?v=G4OXKTxKLAg,G4OXKTxKLAg,Diamond,0
"Doja Cat - Attention",https://www.youtube.com/watch?v=h3EyRU2GioI,h3EyRU2GioI,Diamond,0
"Doja Cat - Balut",https://www.youtube.com/watch?v=KIvmOK3ZPe4,KIvmOK3ZPe4,Diamond,0
"Doja Cat - Demons",https://www.youtube.com/watch?v=LPIWkTCG4Qk,LPIWkTCG4Qk,Diamond,0
"Doja Cat - Gorgeous",https://www.youtube.com/watch?v=LtggjJf5SP4,LtggjJf5SP4,Gold,0
"Doja Cat - I Don't Do Drugs ft. Ariana Grande",https://www.youtube.com/watch?v=h2mQuQxLIVY,h2mQuQxLIVY,Diamond,0
"Doja Cat - Kiss Me More ft. SZA",https://www.youtube.com/watch?v=vyaElHxJ1I4,vyaElHxJ1I4,Diamond,0
